IFS_code;Country;Year;totimp;impfrau;impfrbe;impfrbelu;impfrfi;impfrfr;impfrgr;impfrgc;impfrir;impfrit;impfrnt;impfrpo;impfrsp;impfras;impfrca;impfrde;impfrja;impfrnz;impfrno;impfrsw;impfrsz;impfruk;impfrus;impfrch;impfrbr;impfrme;impfreger;totexp;exptoau;exptobe;exptobelu;exptofi;exptofr;exptoge;exptogr;exptoir;exptoit;exptont;exptopo;exptosp;exptoas;exptoca;exptode;exptoja;exptonz;exptono;exptosw;exptosz;exptouk;exptous;exptoch;exptobr;exptomex;exptoeger;impfrko;exptoko;Nominal GDP;Real GDP
193;Australia;19601;;8.359999999999999;;28.05;10.89;42.02;153.23;.88;.22;40.04;41.25;2.75;6.05;;101.53;5.83;151.25;41.69;10.78;40.59;32.23;867.46;475.09;11.55;7.26;4.07;2.64;;3.7;;51.4;.5;121.6;66.8;2.7;5.2;97.2;9.5;3.1;.4;;36.1;1.9;313.2;133.4;1.4;5.2;4.8;555.1;136;23.5;;13.7;3.2;;7;17313;67915
193;Australia;19602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19611;;10.34;;20.13;11.88;30.58;137.5;.99;.22;33.99;41.03;2.53;6.16;;86.45999999999999;6.27;120.67;36.08;9.789999999999999;41.47;33.88;712.03;460.35;7.81;1.76;4.51;1.98;;3.7;;51.3;.6;125;68.09999999999999;3.4;6.4;115.5;14.5;2.2;15;;35.6;.9;420.7;137.8;3.8;4.8;4.2;469.4;216.3;161.4;.3;8.9;1.6;.33;3.5;17473;70022
193;Australia;19612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19621;;9.02;;17.27;13.64;35.64;142.01;1.32;.22;44.77;32.67;3.19;6.49;;109.12;6.93;149.49;35.31;8.69;44.66;34.87;759.66;521.73;12.32;3.3;5.06;2.09;;2.6;;53.5;.5;113.3;82.40000000000001;3.9;3.8;109.8;18.7;1.7;26.9;;41;1.6;389.8;136.9;4.4;4.8;2.6;455.6;291.6;97.8;.7;11.1;.4;.44;5.7;18551;71491
193;Australia;19622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19631;;8.58;;17.71;14.41;46.97;154.77;1.54;.22;49.72;37.73;3.74;4.62;;106.7;11.55;173.47;54.23;9.24;48.29;34.1;792;583.11;16.5;4.4;5.28;2.31;;4.4;;53.8;.6;137.9;87.90000000000001;3.1;5.7;110;14.6;2.5;10;;52.5;2;483.3;178.7;7;7.2;2.1;501.3;320.2;202.1;.8;11.5;.4;.44;6.7;20250;76496
193;Australia;19632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19641;;8.91;;22.77;18.26;62.81;178.09;1.87;.55;57.64;41.36;3.74;6.71;;137.72;8.140000000000001;251.46;57.53;10.12;61.27;41.58;872.41;797.9400000000001;25.3;6.6;5.5;3.63;;3.9;;72.7;.8;134.1;102.3;10.4;4.9;107.5;22.3;2.7;11.1;;51.5;2.2;527.4;180.6;8;7.9;3.1;605.8;286.9;153.1;.6;20;3;.66;4.5;22238;80155
193;Australia;19642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19651;;11.11;;31.57;20.13;99.22;203.94;1.98;1.1;62.04;49.83;3.85;9.460000000000001;;149.16;8.029999999999999;361.46;55.99;12.54;57.64;48.62;981.2000000000001;864.38;29.37;5.61;4.18;13.97;;3.4;;57.6;.8;127.8;99.90000000000001;14.6;2.7;105.5;39.3;2.4;10.7;;41.6;3.9;495.2;188.3;6.8;10.1;5.3;524.6;327.4;164.6;.9;20.4;3.2;1.65;4.6;23908;85704
193;Australia;19652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19661;;10.12;;21.01;17.49;110.88;201.08;2.64;1.43;61.71;49.17;2.97;8.029999999999999;;124.96;8.69;331.21;56.21;11.55;65.01000000000001;51.04;884.84;904.42;29.04;5.06;5.72;4.95;;3.4;;59.3;1.5;131.9;99.90000000000001;8.1;6.6;143.6;29.6;2.4;17.4;;55.2;2.6;585.9;198.8;4.5;9.699999999999999;4.7;490.2;412.1;83.5;1;14.8;3.1;1.87;6.8;25581;86750
193;Australia;19662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19671;;9.68;;25.19;20.24;110.11;217.36;5.06;2.09;78.09999999999999;62.59;3.41;8.58;;154.77;9.24;399.3;66;12.87;59.73;54.34;862.9500000000001;990.11;30.58;4.73;6.16;3.41;;1.6;;59.7;2.1;101.9;91.3;6;3.9;113.3;57;2.6;12.5;;58;3.5;702.6;181.1;15.5;8;3.9;445.3;416.9;194.4;13.1;18.6;.6;1.98;9.6;28317;94572
193;Australia;19672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19681;;9.57;;24.42;18.59;99.11;238.59;3.41;3.19;97.24;59.07;4.29;10.45;;198.44;10.45;465.74;87.23;17.71;69.08;60.94;950.29;1136.08;33.55;6.6;6.71;4.29;;1.5;;46.5;2.9;109.8;112.1;4.9;3.6;104;41.1;3.1;9.9;;71.09999999999999;3;800.1;175.9;6.7;9.4;3.2;500.9;502.1;89.09999999999999;1;17.5;1.4;2.2;12;30891;96182
193;Australia;19682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19691;;10.19;;27.54;20.33;78.19;280.66;4.52;5.03;92.27;68.42;3.83;13.76;;175.13;12.28;554.06;91.43000000000001;13.57;65.37000000000001;64.39;977.3;1110.63;38.05;7.4;5.13;4.52;;3.6;;46.59;4.17;133.22;114.79;6.51;2.97;132.1;74.08;4.13;18.08;;86.47;3.48;1064.3;192.26;10.48;9.310000000000001;4.44;501.13;580.21;119.11;1.36;16.2;1.36;2.84;13.93;34716;104251
193;Australia;19692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19701;;13.36;;37.55;24.28;90.11;344.18;13.33;6.81;105.19;87.97;3.87;19.49;;196.01;14.95;634.97;117.6;12.5;79.73;80.05;1060.7;1271.11;39.03;9.9;5.3;5.46;;.54;;49.74;4.86;115.89;127.82;15.11;4.26;92.61;65.38;4.64;14.95;;135.2;4.14;1253.95;256.79;7.11;11.48;4.18;544.85;612.43;129.28;2.57;13.37;5.66;4.72;13.3;38598;112869
193;Australia;19702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19711;;16.86;;33.94;21.62;89.74;372.5;6.07;7.58;105.55;80.42;4.81;21.87;;197.3;15.43;803.71;129.86;13.36;94.61;87.5;1120.26;1135.2;44.94;14.58;2.86;5.15;;1.21;;45.44;7.21;125.94;155.56;28.36;4.81;85.42;75.15000000000001;2.77;14.43;;135.1;4.36;1454.05;283.81;13.76;14.31;6.84;509.35;633.7000000000001;27.36;2.95;9.300000000000001;13.77;8.01;27.41;42663;116841
193;Australia;19712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19721;;16.12;;39.71;26.33;91.18000000000001;365.09;4.97;9.119999999999999;112.9;76.34999999999999;5.78;26.44;;168;18.15;824.65;151.02;15.51;99.81;88.29000000000001;993.72;1073.57;58.83;11.1;4.25;11.11;;4.2;;64.22;15.15;183.12;229.91;27.26;4.37;137.82;84.03;4.37;20.95;;198.21;5.05;1844.51;349.03;15.7;23.66;7.44;643.66;842.47;46.34;6.3;9.359999999999999;15.32;10.09;49.62;46772;119176
193;Australia;19722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19731;;23.14;;72.78;41.8;111.33;548.03;6.3;13.97;168.3;104.27;8.869999999999999;39.85;;236.35;30.99;1342.04;237.66;22.72;146.26;118.46;1241.13;1696.07;94.58;20.86;11.27;6.67;;2.9;;86.43000000000001;16.84;287.43;263.39;44.79;5.77;192.39;106.48;10.06;32.84;;259.77;9.050000000000001;3097.21;570.21;20.95;32.33;24.19;784.24;1165.4;139.05;11.55;15.08;8.69;28.45;86.65000000000001;55231;125675
193;Australia;19732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19741;;48.38;;118.26;58.35;177.63;908.83;11.33;22.9;303.23;175.8;15.91;73.06999999999999;;367.29;51.86;2265.01;286.86;37.4;238.75;166.5;1660.65;2550.43;133.34;47.25;16.57;7.71;;3.74;;103.08;3.03;270.96;344.9;30.28;5.07;191.73;139.39;9.99;38.25;;329.7;7.18;3190.5;733.65;12.23;31.27;12.3;657.29;1035.72;321.74;10.77;28.84;10.82;81.34999999999999;113.89;65960;130383
193;Australia;19742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Australia;19744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
